gene_name	logFC	AveExpr	t	P.Value	adj.P.Val	B
DEPDC5	1.09669613623089	4.78277247884381	14.0008717854704	2.83834519030901e-10	9.39897735876613e-08	13.9445868477443
TRIB3	1.28121061984562	4.01459501349596	13.9238575771438	3.07588515892327e-10	9.57748002768019e-08	13.865832871453
SLC10A3	1.80623941150517	6.58525334807194	13.6922163256441	3.92612727538084e-10	1.17499852697622e-07	13.6263434978329
SENCR	1.42893083519509	3.22846310056973	13.6882786222165	3.94257007421796e-10	1.17499852697622e-07	13.6222380803266
ATP8B1	-1.57457265903208	6.09318170017734	-13.6725971153428	4.00877880144017e-10	1.17790342754429e-07	13.6058771924042
ELAPOR1	1.68288430397789	4.56480449231038	13.5557336950018	4.54084239341013e-10	1.29768567138797e-07	13.4833702370186
RITA1	1.44293354270574	4.92502645840499	13.4957200098617	4.8426832292984e-10	1.34704076706164e-07	13.4200578270955
MAX	1.01782819198485	6.51076351470858	13.4435087213551	5.12257278460429e-10	1.39758634422847e-07	13.364753794187
CASTOR3	1.43503948820312	3.7067525098304	13.4073617876855	5.32634668838411e-10	1.42275167936164e-07	13.3263435634577
C4BPA	4.1358921439484	3.66784617122721	13.2960024009596	6.00988273270038e-10	1.49758994837974e-07	13.2073790063969
KHNYN	1.8735348683997	8.00409811881337	13.2820630625944	6.10177095255863e-10	1.49758994837974e-07	13.1924200555102
ANKRD36B	-1.92976331045657	8.04486829171811	-13.2127368415906	6.58138771844458e-10	1.54270686047405e-07	13.117797778365
PKIG	1.55754086049407	6.00271574050177	13.1967161639762	6.69780084368865e-10	1.55255023556703e-07	13.1004997245703
LOC105371215	-2.90716080555092	3.49956710497163	-13.1589778930402	6.98072345202202e-10	1.56593389952778e-07	13.0596727354413
CMAS	-1.2895292402153	6.40916634718454	-13.0737221312279	7.66749660330275e-10	1.7016948312564e-07	12.9670250008807
ZNF595	-6.74200734965413	6.04406668178208	-12.9637225678994	8.66096837859795e-10	1.83120358126246e-07	12.8466327648106
ARF3	1.48444232162977	7.42536680144961	12.9627231939173	8.67059511811204e-10	1.83120358126246e-07	12.8455345223136
IL1RAP	1.33055556261202	6.45847728825905	12.9529522342334	8.76531531483544e-10	1.83120358126246e-07	12.8347926789362
NCR3	1.70544269517155	5.77618363701252	12.9516830400601	8.77769907613107e-10	1.83120358126246e-07	12.8333968077227
AGPAT1	1.34199820604694	6.67450219893573	12.9161750726294	9.13177002137589e-10	1.88620778401925e-07	12.7942921217874
DHFR2	-1.32767533102611	5.90725318202141	-12.8803043215682	9.50484335150003e-10	1.94402001959798e-07	12.7546843043253
LRRC42	1.00226969792392	5.28661214403786	12.8314469768475	1.00391325935098e-09	2.01381138620962e-07	12.7005687144835
